buoy_id,time,latitude,longitude,station_id,PeakDirection,PeakSpread,SignificantWaveHeight,EnergyPeriod,MeanWavePeriod_Tm01,MeanWavePeriod_Tm02,PeakPeriod,qcflag
,UTC,degrees_north,degrees_east,,degrees_true,degrees_true,m,s,s,s,s,
1,2017-07-23T15:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,271.4,35.6,0.88,6.11931,5.07,4.545,7.69,0
1,2017-07-23T15:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,293.9,31.6,0.92,6.178733,5.13,4.598,8.33,0
1,2017-07-23T16:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,281.3,35.9,0.92,6.408708,5.34,4.762,8.33,0
1,2017-07-23T16:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,281.3,39.4,0.86,6.099505,5.05,4.545,8.33,0
1,2017-07-23T17:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,288.3,44.9,0.84,6.178733,5.13,4.598,8.33,0
1,2017-07-23T17:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,278.4,43.5,0.86,5.966452,4.96,4.494,8.33,0
1,2017-07-23T18:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,296.7,50.2,0.83,5.82564,4.84,4.396,8.33,0
1,2017-07-23T18:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,272.8,43.5,0.87,5.950624,4.81,4.301,8.33,0
1,2017-07-23T19:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,296.7,45.8,0.84,5.94075,4.8,4.301,8.33,0
1,2017-07-23T19:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,288.3,34.2,0.8,5.822308,4.68,4.167,8.33,0
1,2017-07-23T20:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,285.5,39.5,0.79,5.688911,4.59,4.124,8.33,0
1,2017-07-23T20:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,285.5,33.2,0.85,5.93123,4.88,4.396,8.33,0
1,2017-07-23T21:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,291.1,37.5,0.85,5.728402,4.63,4.167,7.69,0
1,2017-07-23T21:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,295.3,39.2,0.87,5.669168,4.57,4.124,7.69,0
1,2017-07-23T22:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,292.5,35.7,0.88,5.748151,4.65,4.167,7.69,0
1,2017-07-23T22:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,291.1,37.5,0.87,5.469308,4.48,4.04,7.69,0
1,2017-07-23T23:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,288.3,38.0,0.87,5.642082,4.61,4.167,7.69,0
1,2017-07-23T23:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,281.3,45.9,0.87,5.3141,4.39,4.0,7.69,0
1,2017-07-24T00:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,284.1,40.2,0.84,5.504408,4.56,4.124,7.69,0
1,2017-07-24T00:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,289.7,38.8,0.82,5.457127,4.49,4.082,7.14,0
1,2017-07-24T01:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,270.0,47.4,0.8,5.288981,4.32,3.922,7.69,0
1,2017-07-24T01:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,286.9,34.7,0.87,5.526404,4.56,4.124,7.69,0
1,2017-07-24T02:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,281.3,37.4,0.82,5.427444,4.46,4.04,7.69,0
1,2017-07-24T02:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,271.4,34.9,0.85,5.385608,4.44,4.04,7.69,0
1,2017-07-24T03:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,275.6,34.9,0.86,5.578126,4.59,4.167,8.33,0
1,2017-07-24T03:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,281.3,48.8,0.79,5.566,4.6,4.167,7.14,0
1,2017-07-24T04:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,286.9,42.9,0.8,5.645214,4.68,4.255,8.33,0
1,2017-07-24T04:38:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,267.2,44.1,0.82,5.525996,4.67,4.301,7.69,0
1,2017-07-24T05:08:00Z,54.2311,-10.146,Belmullet Wave Buoy Berth B,274.2,47.3,0.84,5.581545,4.66,4.255,7.69,0
